City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Thompson,CA,2021-11-25 22:43,55.7435,-97.8558,-2.04,71,75,3.44
70,Knysna,ZA,2021-11-25 22:43,-34.0363,23.0471,59.38,81,95,12.95
71,Mar Del Plata,AR,2021-11-25 22:39,-38.0023,-57.5575,66.22,81,0,5.99
72,Hilo,US,2021-11-25 22:39,19.7297,-155.09,76.8,92,90,4.61
73,Severnoye,RU,2021-11-25 22:43,56.3491,78.3619,-2.31,99,71,6.67
74,Dicabisagan,PH,2021-11-25 22:43,17.0818,122.4157,76.05,90,100,1.52
75,Kavieng,PG,2021-11-25 22:43,-2.5744,150.7967,84.65,65,55,7.38
76,Souillac,MU,2021-11-25 22:43,-20.5167,57.5167,72.36,88,40,5.75
77,Luderitz,NA,2021-11-25 22:43,-26.6481,15.1594,58.86,93,6,3.15
78,Port Lincoln,AU,2021-11-25 22:43,-34.7333,135.8667,58.48,55,96,18.37
79,Paamiut,GL,2021-11-25 22:43,61.994,-49.6678,32.72,98,100,6.26
80,Columbia,US,2021-11-25 22:41,34.0007,-81.0348,63.88,53,1,5.75
81,Maningrida,AU,2021-11-25 22:43,-12.0667,134.2667,87.28,59,96,3.02
82,Newport,GB,2021-11-25 22:43,51.5877,-2.9984,45.86,83,96,10.69
83,Lusambo,CD,2021-11-25 22:43,-4.9667,23.45,68.85,100,100,0.67
84,Pampa,US,2021-11-25 22:43,35.5362,-100.9599,52.75,32,1,0
85,Bugulma,RU,2021-11-25 22:43,54.55,52.8,14.77,98,97,7.11
86,Ahipara,NZ,2021-11-25 22:43,-35.1667,173.1667,67.68,64,56,3.87
87,Avera,US,2021-11-25 22:43,33.194,-82.5271,64.27,67,69,7.61
88,Ushuaia,AR,2021-11-25 22:43,-54.8,-68.3,44.26,70,40,29.93
89,Yulara,AU,2021-11-25 22:43,-25.2406,130.9889,64.24,68,0,11.5
90,Airai,TL,2021-11-25 22:44,-8.9266,125.4092,67.24,82,70,0.56
91,Geraldton,AU,2021-11-25 22:44,-28.7667,114.6,75.13,30,0,9.22
92,San Patricio,US,2021-11-25 22:44,28.017,-97.5169,57.04,68,100,16.98
93,Punta Arenas,CL,2021-11-25 22:43,-53.15,-70.9167,50.11,50,40,27.63
94,Zemio,CF,2021-11-25 22:44,5.0314,25.1361,71.42,39,32,1.03
95,Tomatlan,MX,2021-11-25 22:44,19.9333,-105.25,82.78,46,64,3.58
96,Mahebourg,MU,2021-11-25 22:44,-20.4081,57.7,72.25,88,40,5.75
97,Sai Buri,TH,2021-11-25 22:44,6.7013,101.6168,74.71,95,100,5.95
98,Chifeng,CN,2021-11-25 22:44,42.2683,118.9636,24.35,63,0,5.32
99,Miri,MY,2021-11-25 22:44,4.4148,114.0089,75.34,94,40,3.44
100,Waupun,US,2021-11-25 22:44,43.6333,-88.7296,28.31,51,97,14.99
