City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Tubigan,PH,78.98,broken clouds,8.5322,124.3122,MOONBAY White Beach Resort Co.
6,Cabo San Lucas,MX,77.31,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
15,Bambanglipuro,ID,76.06,overcast clouds,-7.95,110.2833,Puri Brata
16,Butaritari,KI,82.04,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
18,Atuona,PF,78.42,scattered clouds,-9.8,-139.0333,Villa Enata
20,Rikitea,PF,75.97,few clouds,-23.1203,-134.9692,People ThankYou
23,Arraial Do Cabo,BR,84.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
25,Sorong,ID,78.35,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
26,Qui Nhon,VN,76.59,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
29,Castro,BR,75.33,clear sky,-24.7911,-50.0119,CHACARA BAILLY
32,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
35,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
45,Lompoc,US,79.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
47,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
59,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
60,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Kauswagan,PH,78.3,overcast clouds,8.1917,124.0847,lola patring
71,Hithadhoo,MV,81.79,scattered clouds,-0.6,73.0833,Scoop Guest House
77,Faanui,PF,81.45,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
90,Takoradi,GH,79.79,overcast clouds,4.8845,-1.7554,Raybow International Hotel
95,Bontang,ID,77.85,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
102,Bilma,NE,76.53,few clouds,18.6853,12.9164,Expeditions Ténére voyages
105,Namatanai,PG,80.62,light rain,-3.6667,152.4333,Seagulls Inn Namatani
106,Ode,NG,77.36,overcast clouds,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
108,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
110,Cockburn Town,TC,79.02,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
113,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
121,Dhidhdhoo,MV,80.96,overcast clouds,6.8833,73.1,Dhidhoo beach
123,Ixtapa,MX,84.52,broken clouds,20.7,-105.2,Hotel Plaza Providencia
130,Sinnamary,GF,79.27,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
140,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
147,Karratha,AU,82.54,clear sky,-20.7377,116.8463,ibis Styles Karratha
152,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
154,Salalah,OM,76.41,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
155,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Ormara,PK,76.46,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
167,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
168,Hobyo,SO,80.31,light rain,5.3505,48.5268,Halane Hotel and Restaurent
170,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
175,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
180,Banda Aceh,ID,78.08,overcast clouds,5.5577,95.3222,Sulthan Hotel International
181,Culebra,PR,80.6,clear sky,18.303,-65.301,Palmetto Guesthouse
183,Gizo,SB,83.08,light rain,-8.103,156.8419,Imagination Island
188,Arlit,NE,79.16,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
198,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
200,Uruguaiana,BR,84.13,scattered clouds,-29.7547,-57.0883,Fares Turis Hotel
202,Poum,NC,79.83,clear sky,-20.2333,164.0167,Gîte kajeon
204,Lazaro Cardenas,MX,84.49,clear sky,17.9583,-102.2,quinta antigua
205,Inirida,CO,79.25,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
206,Isangel,VU,80.6,clear sky,-19.55,169.2667,Tanna Lodge
207,Camocim,BR,81.54,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
208,Sipe Sipe,BO,77.49,broken clouds,-17.45,-66.3833,Cabañas Oasis Marino
211,Moranbah,AU,76.71,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
213,General Roca,AR,81.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
216,Itarema,BR,81.0,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
218,Bartica,GY,86.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
224,Ghanzi,BW,79.5,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
225,Cape Coast,GH,80.55,overcast clouds,5.1053,-1.2466,Samrit Hotel
236,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
237,Doha,QA,75.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
246,Afua,BR,79.47,moderate rain,-0.1567,-50.3867,Hotel Dias
249,San Matias,BO,86.43,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
253,Gunjur,GM,78.87,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
260,Salaga,GH,85.48,broken clouds,8.5508,-0.5188,Bore Nada Guest House
261,Bom Jesus,BR,78.75,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
262,Nieuw Nickerie,SR,81.52,overcast clouds,5.95,-56.9833,Ishwardat Inn
264,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
268,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
275,Teacapan,MX,77.16,overcast clouds,22.55,-105.75,Hotel los Mangos
283,Mana,GF,80.4,scattered clouds,5.6592,-53.7767,LE SAMANA
284,Sumbe,AO,76.53,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
286,Alofi,NU,80.49,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
291,Catuday,PH,78.69,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
292,Cairns,AU,76.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
302,Macara,EC,84.31,broken clouds,-4.3833,-79.95,Hostal Macará
305,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
309,Labuhan,ID,77.92,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
