City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Mancio Lima,BR,79.93,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
132,Bell Ville,AR,78.58,light rain,-32.6259,-62.6887,Hotel Central
133,Mercedes,AR,85.01,light rain,-34.6515,-59.4307,Posada del Inti Centro
134,Lorengau,PG,80.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
135,Kintampo,GH,81.84,scattered clouds,8.0563,-1.7306,Adomaa Memorial Hotel
136,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
137,Savelugu,GH,85.53,scattered clouds,9.6244,-0.8253,Yoo Naa's Palace
138,Kimbe,PG,78.1,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
139,Zorritos,PE,77.29,scattered clouds,-3.6805,-80.6782,Hotel Pinamar
140,Souillac,MU,76.91,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
141,Wukari,NG,80.4,overcast clouds,7.85,9.7833,Elimtop
142,Pedro Carbo,EC,81.88,overcast clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
143,Oriximina,BR,85.41,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
144,Pindiga,NG,77.77,scattered clouds,9.9833,10.9333,Accommodation Center
145,Humberto De Campos,BR,79.68,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
146,Jaque,PA,78.33,light rain,7.5175,-78.1703,Aventuras Jaque S.A
147,Pedernales,DO,81.09,scattered clouds,18.0384,-71.744,Hotel Costa Marina
148,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
149,Sao Gabriel Da Cachoeira,BR,85.23,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
150,Coronado,US,83.68,few clouds,32.6859,-117.1831,El Cordova Hotel
151,Acarau,BR,81.19,overcast clouds,-2.8856,-40.12,castelo pizzaria
152,Acari,PE,75.09,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
153,Makakilo City,US,80.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
154,Massaguet,TD,79.75,few clouds,12.4755,15.4365,Alwatane
155,Jaicos,BR,86.25,broken clouds,-7.3592,-41.1378,Hotel Jaicós
156,Ciudad Bolivar,VE,88.84,overcast clouds,8.1222,-63.5497,Hotel Edi
157,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
158,La Romana,DO,84.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
159,Kirakira,SB,82.4,broken clouds,-10.4544,161.9205,SanBiz Lodge
160,Pekan,MY,76.3,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
161,Sabang,ID,81.77,moderate rain,5.8933,95.3214,Hotel Citra
162,Iaciara,BR,79.03,broken clouds,-14.0958,-46.6317,Hotel Matinha
163,Aureliana,PH,79.88,overcast clouds,10.8885,121.978,"Aureliana, patnongon, antique"
164,Puerto Narino,CO,82.35,very heavy rain,-3.7703,-70.3831,Eware Refugio Amazonico
165,Dingle,PH,75.76,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
166,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
167,Biak,ID,77.85,overcast clouds,-0.9131,122.8766,Penginapan Kim
168,Hambantota,LK,77.14,light rain,6.1241,81.1185,Bungalow 63
169,Porto Walter,BR,84.94,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
170,Barrancabermeja,CO,86.04,broken clouds,7.0653,-73.8547,Hotel Millenium Barrancabermeja
171,Indramayu,ID,77.36,light rain,-6.3264,108.32,Grand Trisula Hotel
172,Tiruvallur,IN,78.44,overcast clouds,13.15,79.9167,Aarya Rooms
173,Sao Filipe,CV,77.79,scattered clouds,14.8961,-24.4956,Hotel Xaguate
174,Rosarito,MX,79.39,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
175,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
176,Ratnagiri,IN,75.51,broken clouds,16.9833,73.3,Hotel Landmark
177,Lethem,GY,88.7,scattered clouds,3.3803,-59.7968,Savannah Inn
178,Kousseri,CM,79.68,few clouds,12.0769,15.0306,Le Pilotis
179,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
180,Cabadiangan,PH,78.19,overcast clouds,9.7531,122.4739,Kipot
