City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Les Cayes,HT,2021-11-25 00:50:45,18.2,-73.75,75.67,82,7,5.1
60,Yenagoa,NG,2021-11-25 00:50:45,4.9247,6.2642,75.83,92,30,4.43
61,Arraial Do Cabo,BR,2021-11-25 00:49:59,-22.9661,-42.0278,71.56,94,40,2.3
62,Portobelo,PA,2021-11-25 00:50:46,9.55,-79.65,76.05,82,100,3.02
63,Alice Springs,AU,2021-11-25 00:50:47,-23.7,133.8833,69.35,60,40,10.36
64,Gladstone,AU,2021-11-25 00:50:47,-23.85,151.25,78.73,89,90,10.36
65,Imeni Babushkina,RU,2021-11-25 00:50:48,59.7573,43.1285,25.68,97,100,5.06
66,Sironj,IN,2021-11-25 00:50:48,24.1,77.7,61.74,51,5,3.22
67,Kodiak,US,2021-11-25 00:50:48,57.79,-152.4072,22.51,58,90,10.36
68,Bethel,US,2021-11-25 00:50:49,41.3712,-73.414,40.82,65,1,0.0
69,Wattegama,LK,2021-11-25 00:50:49,6.7989,81.4808,74.32,94,100,1.92
70,Bredasdorp,ZA,2021-11-25 00:50:50,-34.5322,20.0403,57.27,69,0,12.53
71,Yerbogachen,RU,2021-11-25 00:50:50,61.2767,108.0108,8.17,99,83,5.32
72,Torbay,CA,2021-11-25 00:50:51,47.6666,-52.7314,48.27,98,90,18.41
73,Dikson,RU,2021-11-25 00:50:52,73.5069,80.5464,7.27,88,100,9.55
74,Saint-Jacques,CA,2021-11-25 00:50:52,45.9501,-73.5659,33.58,69,12,4.61
75,Puerto Ayora,EC,2021-11-25 00:50:16,-0.7393,-90.3518,69.69,82,33,11.07
76,Fort Nelson,CA,2021-11-25 00:50:53,58.8053,-122.7002,-4.41,84,90,2.3
77,Beyneu,KZ,2021-11-25 00:50:53,45.3167,55.2,26.56,62,5,14.54
78,Lethem,GY,2021-11-25 00:50:54,3.3803,-59.7968,81.25,65,54,7.92
79,Chifeng,CN,2021-11-25 00:50:54,42.2683,118.9636,26.67,53,0,5.7
80,Ilulissat,GL,2021-11-25 00:50:55,69.2167,-51.1,25.21,91,100,14.16
81,Hualmay,PE,2021-11-25 00:50:55,-11.0964,-77.6139,66.63,83,100,9.31
82,Haines Junction,CA,2021-11-25 00:50:56,60.7522,-137.5108,3.15,78,100,6.91
83,Barrow,US,2021-11-25 00:50:56,71.2906,-156.7887,-3.98,77,75,11.5
84,Dongsheng,CN,2021-11-25 00:50:56,39.8161,109.9776,29.41,33,0,5.82
85,Wokha,IN,2021-11-25 00:50:57,26.1,94.2667,43.92,78,0,3.65
86,Zhezkazgan,KZ,2021-11-25 00:50:57,47.8043,67.7144,35.83,79,100,11.74
87,Maldonado,UY,2021-11-25 00:48:26,-34.6667,-54.9167,74.59,57,2,8.32
88,Narsaq,GL,2021-11-25 00:51:58,60.9167,-46.05,36.21,99,100,8.16
89,Visby,SE,2021-11-25 00:51:59,57.6409,18.296,45.86,87,75,17.27
